12 Ryan Anderson, Arizona, 33, 33, 963, 29.2, 174, 319, 0.545, 2, 7, 0.286, 155, 208, 0.745, 99, 235, 334, 10.1, 70, 1, 26, 63, 20, 23, 505, 15.3 
01 Gabe York, Arizona, 34, 34, 1133, 33.3, 177, 419, 0.422, 98, 233, .421, 59, 78, 0.756, 19, 90, 109, 3.2, 70, 0, 76, 71, 9, 30, 511, 15.0 
11 Allonzo Trier, Arizona, 27, 21, 757, 28.0, 122, 262, .466, 40, 110, .364, 115, 145, .793, 12, 77, 89, 3.3, 52, 2, 31, 52, 6, 14, 399, 14.8 
35 Kaleb Tarczewski, Arizona, 26, 24, 712, 27.4, 80, 150, .533, 0, 0, .000, 84, 118, .712, 67, 175, 242, 9.3, 77, 1, 17, 34, 36, 7, 244, 9.4 
05 Kadeem Allen, Arizona, 34, 28, 848, 24.9, 100, 215, .465, 18, 50, .360, 67, 95, .705, 8, 98, 106, 3.1, 82, 2, 121, 68, 27, 35, 285, 8.4 
14 Dusan Ristic, Arizona, 34, 9, 561, 16.5, 94, 171, .550, 3, 8, .375, 52, 82, .634, 48, 80, 128, 3.8, 67, 1, 27, 42, 23, 5, 243, 7.1 
23 Mark Tollefsen, Arizona, 34, 13, 744, 21.9, 90, 175, .514, 26, 73, .356, 31, 39, .795, 42, 60, 102, 3.0, 64, 2, 44, 19, 20, 13, 237, 7.0 
00 Jackson-Cartwright, Arizona, 34, 6, 722, 21.2, 57, 142, .401, 27, 72, .375, 37, 57, .649, 9, 47, 56, 1.6, 73, 1, 116, 48, 7, 21, 178, 5.2 
50 Jacob Hazzard, Arizona, 7, 0, 26, 3.7, 6, 10, .600, 4, 6, .667, 2, 2, 1.000, 0, 1, 1, 0.1, 4, 0, 2, 1, 0, 0, 18, 2.6 
03 Justin Simon, Arizona, 24, 0, 180, 7.5, 23, 46, .500, 1, 3, .333, 9, 21, .429, 7, 22, 29, 1.2, 22, 0, 8, 14, 6, 7, 56, 2.3 
24 Elliott Pitts, Arizona, 7, 2, 149, 21.3, 7, 26, .269, 2, 16, .125, 0, 2, .000, 8, 8, 16, 2.3, 21, 1, 13, 11, 0, 8, 16, 2.3 
21 Chance Comanche, Arizona, 23, 0, 139, 6.0, 16, 33, .485, 0, 0, .000, 11, 16, .688, 12, 24, 36, 1.6, 17, 0, 5, 8, 7, 1, 43, 1.9 
51 Paulo Cruz, Ariaonz, 6, 0, 16, 2.7, 0, 2, .000, 0, 2, .000, 0, 0, .000, 0, 0, 0, 0.0, 2, 0, 0, 1, 0, 0, 0, 0.0 
00 Tra Holder, Arizona State, 32, 32, 1017, 31.8, 140, 362, .387, 49, 134, .366, 125, 172, .727, 22, 90, 112, 3.5, 66, 1, 117, 84, 2, 33, 454, 14.2 
04 Gerry Blakes, Arizona State, 32, 29, 962, 30.1, 128, 332, .386, 47, 150, .313, 50, 69, .725, 34, 136, 170, 5.3, 94 , 3, 76, 66, 5, 34, 353, 11.0 
